Membership No  Date Joined  Active  
    51448      2020-1-11    no    
    44975      2018-10-17   no    
    96526      2020-3-9     no    
    54114      2019-9-2     no    
    87471      2017-8-12    no    
    40543      2018-6-6     no    
    62003      2015-5-18    no    
    86599      2017-4-15    no    
    43027      2020-10-5    no    
    26403      2020-4-13    no    
    16135      2017-1-21    no    
    23624      2015-3-17    no    
    96488      2015-11-22   no    
    52278      2019-8-23    no    
